total,hasInternet,dialUp,anyBroadband,cellPlanTotal,cellPlanOnly,cableFiberOpticOrDslTotal,cableFiberOpticOrDslOnly,satelliteTotal,satelliteOnly,otherNoOtherService,internetNoSubscription,noInternet,stateId
277973,239646,432,239214,192936,21988,211134,43280,14332,1086,247,6255,32072,FL-10
308034,274521,955,273566,213241,29598,235832,55786,17805,1744,322,8439,25074,FL-04
307711,254830,911,253919,199075,24882,224954,51834,8844,784,277,9966,42915,FL-13
224524,187316,420,186896,139174,25030,156054,43706,14950,2212,87,9206,28002,FL-26
306533,268958,722,268236,225325,25846,235942,38579,18807,1040,197,9645,27930,FL-22
277191,220350,981,219369,173163,27518,184568,42616,13297,1793,208,18969,37872,FL-09
318832,274364,1470,272894,220965,28345,237042,46654,17526,1630,224,12264,32204,FL-19
293443,248222,976,247246,199993,22091,215387,42582,17679,2116,148,11042,34179,FL-01
285812,255677,678,254999,198757,20292,230404,53329,11212,828,257,5992,24143,FL-07
279809,220667,515,220152,176126,21557,193606,40772,12947,981,299,13688,45454,FL-27
266634,217033,731,216302,173722,26495,177720,36196,20916,2727,684,9238,40363,GA-03
264227,210166,661,209505,167399,24392,172858,35990,23862,3145,399,8218,45843,GA-10
262142,221933,406,221527,183805,29393,182197,32983,19933,1688,533,7709,32500,GA-04
309717,249077,452,248625,206235,34333,207158,38987,15294,1286,275,16720,43920,GA-05
262472,221979,501,221478,180152,24794,187058,36879,19451,1889,425,13534,26959,GA-13
264582,238505,473,238032,200247,16413,215301,33435,20653,1375,307,4217,21860,GA-07
247748,173298,693,172605,136281,34135,124341,30039,19481,3372,532,9328,65122,GA-02
255889,203788,879,202909,156825,34834,158885,41374,16671,2023,387,7913,44188,GA-14
287030,259255,571,258684,216611,22682,228748,38060,17807,1600,261,5786,21989,GA-11
251385,185332,819,184513,145839,31165,142498,33504,17698,2489,358,9256,56797,GA-12
327185,270816,2145,268671,216157,33530,207432,40979,38682,7613,759,11403,44966,ID-01
235539,203700,486,203214,168577,19567,180848,32828,6880,378,197,6331,25508,HI-01
223885,187283,937,186346,153051,18118,162575,30316,9483,1304,135,7654,28948,HI-02
282439,231787,1468,230319,176388,30301,184437,47011,22121,3676,508,8530,42122,IL-18
257991,204979,680,204299,165138,31759,162876,34016,21368,1966,346,7171,45841,IL-02
257263,237902,913,236989,202214,19706,206797,31112,18820,1786,391,3520,15841,IL-14
275337,231662,925,230737,187400,31130,180486,36232,24951,4464,533,7332,36343,IL-16
,,,,,,,,,,,,,IL-ZZ
281314,219778,1510,218268,173329,39472,164156,38486,18818,3506,504,8945,52591,IL-17
244873,203284,1094,202190,166760,24261,171889,32509,13299,1000,274,8570,33019,IL-03
223993,174593,682,173911,138093,27391,140064,31409,11169,1449,760,10010,39390,IL-04
248456,219860,442,219418,180957,21032,192924,35865,12654,1207,87,4797,23799,IL-11
277682,215568,1616,213952,170241,39009,152814,35646,28383,5236,617,8164,53950,IL-15
253229,223664,772,222892,190594,21294,196111,29229,11757,1014,460,4484,25081,IL-08
270905,212616,1879,210737,156223,30155,166161,47760,20595,3412,675,9818,48471,IN-02
281903,219802,1784,218018,170081,33569,164825,40146,25333,4773,615,10860,51241,IN-06
274204,222674,1336,221338,169633,24122,185307,47071,17406,2608,510,6839,44691,IN-01
287165,232795,1623,231172,187035,37045,179553,38189,18711,3137,631,8908,45462,IN-03
288763,239555,1267,238288,190146,31147,191098,41009,24649,3798,660,10436,38772,IN-04
311269,254650,2258,252392,193573,31289,204113,51558,23343,3956,489,9911,46708,IA-01
312649,248021,2202,245819,192271,38053,188788,45049,26299,4826,432,14447,50181,IA-04
328983,275757,1749,274008,226457,35880,221850,41704,25825,3202,369,11510,41716,IA-03
293153,261625,699,260926,222026,23358,232228,36189,10423,1087,203,6651,24877,KS-03
279531,227680,1092,226588,180120,28807,183942,40721,20898,3226,656,8390,43461,KS-04
289932,232272,1433,230839,183777,31276,185234,41606,20996,3205,322,10278,47382,KY-02
281287,208292,1555,206737,153097,41666,148416,44213,25030,5326,358,8502,64493,KY-01
304254,253560,514,253046,213690,36991,209677,36642,13282,1018,175,10090,40604,KY-03
282546,234717,1520,233197,188029,28464,191711,39993,18473,2883,381,8123,39706,KY-04
294506,212175,401,211774,165902,34806,168575,40783,21848,2057,217,10392,71939,LA-02
292100,246335,548,245787,192807,28512,207131,48831,18761,1925,247,9211,36554,LA-06
295361,231939,470,231469,182084,33781,186661,44344,18365,2680,480,7456,55966,LA-03
287512,246947,1952,244995,186458,19013,219024,54933,9584,1278,268,8704,31861,ME-01
268720,224317,1133,223184,178698,26552,185685,39650,16818,2507,283,7171,37232,FL-03
284386,235534,564,234970,199039,21161,208755,33075,9452,1131,277,8859,39993,DC-98
299581,235553,1618,233935,177011,30678,192171,50174,19069,2996,271,13350,50678,FL-17
305829,246361,1236,245125,178112,36912,191942,57876,17284,2341,3699,12831,46637,FL-06
271047,210193,646,209547,165551,37912,163295,39512,13769,1940,296,10724,50130,FL-05
242695,168853,432,168421,115614,19647,142591,48364,15085,1729,189,12547,61295,FL-24
325031,274222,1928,272294,203862,25341,233432,60319,21448,3107,777,9000,41809,FL-11
276571,239326,471,238855,196346,21204,212636,38963,16599,1168,155,9687,27558,FL-23
294132,254767,1268,253499,194046,20114,225505,54606,15623,1830,163,6666,32699,FL-08
298967,260304,858,259446,208312,27896,224730,47256,18185,1235,260,8197,30466,FL-18
249684,192129,517,191612,154359,29065,156410,33211,15339,1264,318,12980,44575,FL-20
244224,194623,542,194081,150472,26047,162560,39323,20456,1596,195,6635,42966,FL-25
272409,217061,2485,214576,150045,21394,181127,57568,14490,3679,563,10746,44602,ME-02
275556,234284,1073,233211,186551,31816,188762,41764,16759,2809,367,6292,34980,MD-01
288373,254168,698,253470,210726,20586,228764,40170,8138,673,490,8015,26190,MD-03
266987,233804,459,233345,189741,21442,207610,40714,11058,730,167,6019,27164,MD-04
262068,233731,766,232965,184898,17920,208461,44670,13422,1538,129,5834,22503,MD-05
271303,215232,887,214345,178332,30419,178485,32787,9439,1057,285,12446,43625,MD-07
283829,245529,776,244753,199723,24009,216225,42619,9817,692,155,6401,31899,MD-02
275462,239550,765,238785,195401,20259,210431,39067,15155,1799,207,6608,29304,MD-06
281626,255659,940,254719,212582,21569,227224,38633,10806,991,469,5910,20057,MD-08
279355,250814,568,250246,201913,17026,230794,46292,5565,368,297,6122,22419,MA-04
300941,255171,460,254711,211651,26467,223136,39981,8959,581,687,7273,38497,MA-07
282251,242768,1088,241680,192305,21019,214456,45929,9528,1380,252,7151,32332,MA-02
297961,254213,859,253354,202439,19246,229082,47685,8056,820,245,8159,35589,MA-09
291496,258409,673,257736,209708,18796,236491,46188,6220,273,113,5583,27504,MA-06
302222,266934,627,266307,219136,20281,242154,44425,8111,786,443,6323,28965,MA-08
287856,233850,1396,232454,169719,25028,200505,57411,8697,1447,533,9869,44137,MA-01
296823,266998,911,266087,212169,16741,246411,51683,6264,480,354,5578,24247,MA-05
292829,231483,1914,229569,170955,36395,168599,47279,26888,7662,729,10594,50752,MI-01
276923,229747,1233,228514,179119,33021,180926,42188,18973,4200,631,8302,38874,MI-02
272640,209096,741,208355,166179,32787,168154,37449,15110,2025,226,11589,51955,MI-14
280214,235988,1041,234947,193774,35543,184539,35796,18902,3137,432,6902,37324,MI-03
282975,220788,1132,219656,163600,30343,179724,50946,13945,2525,329,9251,52936,MI-05
274675,216392,1729,214663,160436,36931,153786,43891,26890,6830,825,10527,47756,MI-04
,,,,,,,,,,,,,MI-ZZ
301074,258238,644,257594,202441,26685,224937,51413,11433,1538,292,6577,36259,MI-09
275837,232944,1019,231925,178594,20034,206217,49899,11326,1401,171,14101,28792,MI-12
271508,212505,2335,210170,158356,30059,162214,44627,22179,3999,693,11368,47635,MN-07
256280,226482,1580,224902,183942,30530,182394,36415,18131,2334,422,7284,22514,MN-06
276072,221543,2327,219216,170713,37551,160855,39787,26608,5446,473,8371,46158,MN-08
279446,254067,993,253074,207220,17387,228807,42088,15300,1311,313,5970,19409,MN-03
299431,253724,1126,252598,211190,24228,220524,38007,11874,1260,685,11696,34011,MN-05
306132,265525,896,264629,223664,32600,217208,35379,23505,3014,567,7113,33494,TX-10
275111,210147,424,209723,165825,35515,167913,40492,12694,1256,475,15842,49122,TX-35
293484,270538,537,270001,233954,24275,236880,32647,25364,1526,289,4254,18692,TX-22
258329,199488,867,198621,166749,32986,152751,27069,21621,2610,346,10336,48505,TX-19
228917,199523,755,198768,166878,14373,173506,27486,20365,2085,322,15813,13581,UT-03
258564,224790,1049,223741,180359,26114,181477,36434,23794,4524,551,9524,24250,UT-02
285446,231412,822,230590,194914,40103,183758,33298,11987,766,163,13884,40150,VA-03
287284,228493,1028,227465,186961,34590,181353,35797,15623,2375,520,9853,48938,VA-04
276827,242836,528,242308,201703,21743,214493,37955,10908,996,45,7574,26417,VA-02
292428,227413,1591,225822,178540,34363,176470,40485,18099,3883,426,10052,54963,VA-06
278978,257170,571,256599,219469,17757,229852,33827,13909,1598,257,5075,16733,WA-01
284463,243047,1451,241596,196320,27611,195413,37250,21705,4615,766,8182,33234,WA-05
289803,260018,919,259099,212966,23043,228258,42727,13685,1438,296,7509,22276,WA-02
286198,251510,1165,250345,204529,25339,214434,40702,15985,2560,272,7158,27530,WA-06
240803,175341,971,174370,118428,20324,143756,47847,15161,4443,216,9035,56427,WV-03
281055,240509,1305,239204,193546,25591,203481,41081,17093,1931,342,7744,32802,WI-01
296155,255769,1316,254453,207787,24849,217766,41761,17840,2276,522,6911,33475,WI-05
314079,271307,1620,269687,215819,25228,230813,48622,19956,2896,451,11560,31212,WI-02
240954,190203,412,189791,156490,33853,147794,30235,16629,1636,150,8816,41935,TX-16
314343,282984,314,282670,234808,25804,246948,35732,15511,1039,1408,4885,26474,TX-24
220783,157119,973,156146,129449,42470,108880,23103,9510,1290,268,9386,54278,TX-33
272282,216903,793,216110,172593,40857,152639,33962,28465,6113,592,8530,46849,TX-11
227863,166111,499,165612,131318,39468,112508,26841,20844,4685,365,8263,53489,TX-15
232304,177389,456,176933,141263,28835,135968,30207,20967,3244,303,8052,46863,TX-23
290833,255536,600,254936,218996,34631,202838,30404,29564,3064,606,7935,27362,TX-12
292291,255358,988,254370,216065,37951,200687,31175,31304,4626,365,5976,30957,TX-08
214304,129119,613,128506,97685,31791,86372,25188,15716,3177,251,19772,65413,TX-34
268565,194718,749,193969,160970,35601,151241,28424,17011,1655,430,8477,65370,TX-30
270022,210051,661,209390,174928,38515,163398,30656,18359,1853,231,7454,52517,TX-18
289834,261534,742,260792,221911,32740,220054,34309,22515,1946,397,6183,22117,TX-02
254402,203171,483,202688,162080,28847,167450,35637,16810,1618,405,10431,40800,TX-20
289471,259062,499,258563,208460,27755,219616,46162,21220,1783,276,6310,24099,TX-31
275511,241176,790,240386,197324,42460,177677,34950,27054,5409,574,7011,27324,TX-25
293899,263940,395,263545,222481,26585,227960,35731,16360,1290,270,6625,23334,TX-32
321068,282734,865,281869,236141,31303,238638,40593,23471,2891,471,10667,27667,TX-21
308181,286993,344,286649,227860,16597,261723,52969,19965,1609,294,4577,16611,TX-03
271782,209881,1012,208869,171650,48472,134190,27705,38100,6113,574,9824,52077,TX-04
258587,202013,701,201312,163501,38337,145318,30699,25514,3847,448,9326,47248,TX-13
292489,271400,414,270986,234779,19202,242341,32099,21978,1614,245,6459,14630,TX-26
265623,215611,741,214870,179546,40192,166490,31269,23646,1435,264,7357,42655,TX-09
260029,213861,1893,211968,141987,16756,184458,63191,13522,3523,566,12203,33965,VT-00
240686,213776,901,212875,171750,22248,173534,35179,26383,3965,273,6905,20005,UT-01
249146,220787,990,219797,183881,22089,186125,30763,21600,2309,235,10692,17667,UT-04
279120,242408,1053,241355,198187,26061,199250,37306,20392,3608,391,6562,30150,VA-01
276145,255304,513,254791,216287,16624,228420,34889,15249,1607,443,5905,14936,VA-10
290479,218144,2029,216115,170039,45770,142883,34770,29950,7474,925,9846,62489,VA-05
289450,254352,879,253473,210485,24955,214973,38020,18307,3087,349,5688,29410,VA-07
271501,256217,723,255494,220984,12394,239847,32277,10508,613,151,4663,10621,VA-11
282884,205982,1661,204321,149540,30307,156112,45025,22774,6021,602,11927,64975,VA-09
319481,293570,727,292843,251106,21403,267351,39122,10156,729,151,5772,20139,VA-08
277003,242349,1425,240924,191651,25237,200849,41889,21184,4412,308,6895,27759,WA-03
278895,244775,1011,243764,198296,21554,215965,41348,12656,1877,157,7905,26215,WA-10
246812,203890,1058,202832,160089,29601,155803,34434,23210,4860,951,8828,34094,WA-04
354931,324129,628,323501,281133,22831,295304,39525,9413,998,362,9478,21324,WA-07
282932,256793,685,256108,224030,23660,228043,29700,9499,776,192,4979,21160,WA-09
268381,242220,803,241417,206423,18806,213726,31342,14886,1663,267,5998,20163,WA-08
242119,190136,1003,189133,133456,22272,156970,49460,13200,4023,258,7238,44745,WV-01
249663,194270,1084,193186,144362,22456,158606,40930,17317,4686,329,8154,47239,WV-02
289763,238007,2087,235920,178898,29850,190371,49413,21817,4166,544,7334,44422,WI-03
279614,215156,829,214327,181180,34583,174149,30075,11097,1216,308,8219,56239,WI-04
301672,240744,3139,237605,180441,36755,178996,47783,25765,5637,537,9036,51892,WI-07
295725,245857,2057,243800,187548,29596,197611,49531,21060,3922,493,8335,41533,WI-06
300093,252730,1962,250768,198389,32474,200814,45386,21795,3754,521,6763,40600,WI-08
1192654,731369,11090,720279,606627,267891,407526,95420,58269,9882,919,28108,433177,PR-98
280331,209183,802,208381,172139,55808,134059,28011,28137,5184,807,10637,60511,MS-01
281084,200679,1119,199560,162836,42492,136053,28911,28722,4812,389,11481,68924,MS-03
287065,215072,1147,213925,170789,45460,151157,36728,25523,4399,267,8788,63205,MS-04
255914,168850,679,168171,136939,47032,104233,23282,23232,4456,463,9755,77309,MS-02
313079,258268,1021,257247,205882,27905,224420,48459,8598,802,350,7684,47127,PA-18
272852,227959,1532,226427,173995,20120,200554,48779,11840,1474,197,7456,37437,PA-07
257502,201049,807,200242,157249,28324,167314,39831,12687,1056,287,8337,48116,PA-02
307679,263609,1279,262330,208953,21865,235824,50295,7962,1094,212,6097,37973,PA-17
270538,240928,767,240161,198675,15533,221816,38846,6225,494,264,5023,24587,PA-01
282320,229370,2115,227255,172920,27567,191633,49680,11841,2131,303,7153,45797,PA-16
273716,221162,2133,219029,167423,24030,187648,47048,12864,1403,401,5983,46571,PA-08
291601,242583,1433,241150,190387,24428,210357,47417,10610,1141,296,8155,40863,PA-10
281836,220625,2394,218231,162187,26286,181476,50314,14442,2692,427,7390,53821,PA-13
275913,221798,1977,219821,171546,23822,188074,44017,10933,1818,392,10854,43261,PA-11
277178,221880,2052,219828,169174,25058,185785,46150,12966,2011,254,6628,48670,PA-09
279310,250120,812,249308,209746,17222,229450,37453,5895,371,112,5085,24105,PA-04
