total,belowPovertyLevel,belowPovertyLevelMarried,belowPovertyLevelMarriedNoHighSchoolGrad,belowPovertyLevelMarriedHighSchoolGrad,belowPovertyLevelMarriedSomeCollege,belowPovertyLevelMarriedBachelorsOrHigher,belowPovertyLevelSingleParent,belowPovertyLevelSingleParentDad,belowPovertyLevelSingleParentDadNoHighSchoolGrad,belowPovertyLevelSingleParentDadHighSchoolGrad,belowPovertyLevelSingleParentDadSomeCollege,belowPovertyLevelSingleParentDadBachelorsOrHigher,belowPovertyLevelSingleParentMom,belowPovertyLevelSingleParentMomNoHighSchoolGrad,belowPovertyLevelSingleParentMomHighSchoolGrad,belowPovertyLevelSingleParentMomSomeCollege,belowPovertyLevelSingleParentMomBachelorsOrHigher,atOrAbovePovertyLevel,atOrAbovePovertyLevelMarried,atOrAbovePovertyLevelMarriedNoHighSchoolGrad,atOrAbovePovertyLevelMarriedHighSchoolGrad,atOrAbovePovertyLevelMarriedSomeCollege,atOrAbovePovertyLevelMarriedBachelorsOrHigher,atOrAbovePovertyLevelSingleParent,atOrAbovePovertyLevelSingleParentDad,atOrAbovePovertyLevelSingleParentDadNoHighSchoolGrad,atOrAbovePovertyLevelSingleParentDadHighSchoolGrad,atOrAbovePovertyLevelSingleParentDadSomeCollege,atOrAbovePovertyLevelSingleParentDadBachelorsOrHigher,atOrAbovePovertyLevelSingleParentMom,atOrAbovePovertyLevelSingleParentMomNoHighSchoolGrad,atOrAbovePovertyLevelSingleParentMomHighSchoolGrad,atOrAbovePovertyLevelSingleParentMomSomeCollege,atOrAbovePovertyLevelSingleParentMomBachelorsOrHigher,stateId
172480,27731,11157,4256,2903,2921,1077,16574,1928,699,638,533,58,14646,4378,4153,5067,1048,144749,102921,12898,20364,35865,33794,41828,12633,1871,2951,5136,2675,29195,5474,6002,9825,7894,TX-16
198144,11692,5902,1225,1170,1222,2285,5790,585,234,96,187,68,5205,1426,1440,1712,627,186452,144476,9372,17288,34933,82883,41976,13545,1961,2926,4001,4657,28431,2760,6078,10349,9244,TX-24
159494,31363,12585,7223,3036,1519,807,18778,2817,1406,911,379,121,15961,7095,5137,3198,531,128131,83164,35123,21587,15693,10761,44967,16791,7621,4627,3499,1044,28176,8799,8694,7910,2773,TX-33
183696,16255,6618,2487,2027,1502,602,9637,1311,376,508,353,74,8326,2464,2490,2908,464,167441,132918,16464,33194,45037,38223,34523,12164,1831,4076,4317,1940,22359,3820,6190,8676,3673,TX-11
179218,39409,19112,10941,3825,2982,1364,20297,2875,1139,955,643,138,17422,8218,4458,3987,759,139809,103273,21577,23108,28865,29723,36536,9574,2022,2458,2983,2111,26962,7526,6169,7208,6059,TX-15
174475,24997,11088,5712,2640,2148,588,13909,2083,821,545,582,135,11826,4205,3502,3586,533,149478,116127,19711,24375,33596,38445,33351,9754,2182,3164,2954,1454,23597,5362,6183,7352,4700,TX-23
197445,13806,5030,1477,1394,1329,830,8776,1269,423,379,360,107,7507,1559,2406,3111,431,183639,143468,10818,29057,45236,58357,40171,12567,1786,4229,4111,2441,27604,2623,7543,10294,7144,TX-12
213468,16111,7399,2503,2049,1937,910,8712,1379,321,544,451,63,7333,1851,2747,2086,649,197357,162925,14017,31434,49082,68392,34432,11228,2056,3580,3011,2581,23204,2108,6074,9026,5996,TX-08
164896,39148,18049,9659,4619,2890,881,21099,3118,1337,992,661,128,17981,7334,5629,4397,621,125748,92624,22059,23388,26632,20545,33124,9758,2242,3221,3058,1237,23366,6666,5781,7250,3669,TX-34
173263,28900,9385,4804,2409,1455,717,19515,2743,903,1066,700,74,16772,5023,5749,5303,697,144363,91964,19197,19966,27829,24972,52399,13611,3333,4317,3814,2147,38788,5325,10787,15454,7222,TX-30
171047,32254,10223,4686,2746,1996,795,22031,2785,1260,973,470,82,19246,6396,6535,5562,753,138793,88577,17675,20610,22749,27543,50216,14656,3774,4848,4117,1917,35560,6285,9608,13026,6641,TX-18
194588,15346,6723,2152,1758,1344,1469,8623,1396,495,236,597,68,7227,1799,2398,2305,725,179242,140946,9768,19626,38023,73529,38296,11719,2142,3535,3148,2894,26577,2341,5080,10797,8359,TX-02
169598,23265,9015,3505,2717,1904,889,14250,2104,528,729,632,215,12146,4772,3422,3245,707,146333,101169,12722,20056,33868,34523,45164,12728,2535,3441,4494,2258,32436,5460,8240,11686,7050,TX-20
204908,13894,5056,1006,1265,1748,1037,8838,1045,206,362,278,199,7793,1815,2338,2776,864,191014,154163,6418,24188,51993,71564,36851,11041,931,3069,4669,2372,25810,1574,5497,11324,7415,TX-31
194111,13850,6691,1743,1526,2148,1274,7159,1215,248,468,454,45,5944,1385,1785,2095,679,180261,149745,8259,25876,42671,72939,30516,9569,1057,3007,3178,2327,20947,1829,4992,8033,6093,TX-25
184346,14348,6341,2299,1095,1222,1725,8007,1185,341,255,476,113,6822,2400,1626,2038,758,169998,133568,13259,15855,32104,72350,36430,12640,1939,3122,4000,3579,23790,2911,4546,8854,7479,TX-32
189642,11546,4767,1008,1206,1313,1240,6779,939,137,273,391,138,5840,1405,1736,1732,967,178096,146142,5191,20378,38864,81709,31954,10559,1069,2642,3373,3475,21395,1691,4252,7727,7725,TX-21
225226,9799,4633,1051,742,1070,1770,5166,777,145,223,217,192,4389,793,1331,1423,842,215427,180445,5283,14136,41354,119672,34982,10597,1005,1962,3461,4169,24385,1276,3574,8763,10772,TX-03
193568,19578,7586,2260,2278,2389,659,11992,2256,579,931,637,109,9736,1998,3495,3669,574,173990,140803,11484,36423,49529,43367,33187,10357,1635,3663,3369,1690,22830,2601,6789,9224,4216,TX-04
174251,19350,7824,2785,2510,1940,589,11526,1882,512,802,523,45,9644,2553,2928,3808,355,154901,123971,14518,31115,42566,35772,30930,10803,1747,3767,4143,1146,20127,2470,6222,7594,3841,TX-13
218610,9017,4145,1021,748,1011,1365,4872,694,106,288,148,152,4178,815,1210,1418,735,209593,173880,7130,21009,49134,96607,35713,10756,1034,2449,3229,4044,24957,1757,4662,9203,9335,TX-26
180653,29494,11430,3974,3261,2263,1932,18064,2455,844,765,471,375,15609,4838,5368,4081,1322,151159,96470,19064,22332,24671,30403,54689,16397,4040,4502,4674,3181,38292,5753,9325,13339,9875,TX-09
156384,10278,3964,706,1383,942,933,6314,1008,203,432,255,118,5306,829,1823,1911,743,146106,119229,4931,27321,31783,55194,26877,9722,1098,3394,2898,2332,17155,804,4285,6130,5936,VT-00
184871,12883,5948,684,1806,2139,1319,6935,1078,284,335,408,51,5857,1548,1719,2126,464,171988,145745,6794,27439,54391,57121,26243,10040,1150,3232,3851,1807,16203,1254,4559,6933,3457,UT-01
187606,10880,5065,926,1220,1580,1339,5815,985,322,308,289,66,4830,1291,1451,1738,350,176726,143898,7803,25634,53769,56692,32828,11230,1116,3971,4228,1915,21598,1863,6018,8624,5093,UT-04
206376,9892,4076,1007,1212,974,883,5816,826,268,285,158,115,4990,1216,1857,1387,530,196484,162211,8913,28808,46719,77771,34273,11192,1623,3660,3236,2673,23081,2349,6065,7845,6822,VA-01
215504,6189,3065,709,616,799,941,3124,580,173,228,115,64,2544,537,434,804,769,209315,179760,7487,17608,32412,122253,29555,9459,1084,1944,2496,3935,20096,1600,3599,6084,8813,VA-10
190172,17678,6286,1615,2425,1430,816,11392,1888,538,727,531,92,9504,1979,3560,3364,601,172494,135444,10627,32273,41258,51286,37050,10975,2002,3440,3533,2000,26075,3399,7369,10007,5300,VA-05
203450,9849,3845,733,1101,841,1170,6004,1000,290,282,271,157,5004,1216,1545,1628,615,193601,154467,7714,25993,40318,80442,39134,12307,1532,3976,3390,3409,26827,2542,5947,9860,8478,VA-07
190684,8513,3727,803,718,557,1649,4786,809,180,315,188,126,3977,824,884,1240,1029,182171,148369,7684,14094,23134,103457,33802,10819,1214,1633,2629,5343,22983,2112,3832,6610,10429,VA-11
178872,21564,9072,2860,3261,2356,595,12492,2485,741,1030,623,91,10007,2069,3840,3490,608,157308,127476,12777,36311,42257,36131,29832,9093,1794,3431,2700,1168,20739,3288,5764,8306,3381,VA-09
180881,10346,4408,1230,958,846,1374,5938,817,325,159,104,229,5121,1919,1286,1158,758,170535,136425,7145,10476,18675,100129,34110,11583,2016,1873,2622,5072,22527,2387,3635,6107,10398,VA-08
188882,13154,5251,861,1634,1949,807,7903,1442,288,460,547,147,6461,831,2007,3162,461,175728,141724,7325,27527,57029,49843,34004,12907,1629,4043,4885,2350,21097,1809,4751,10492,4045,WA-03
187195,15057,5426,1081,1627,1790,928,9631,1786,330,694,582,180,7845,1461,2165,3580,639,172138,134515,5720,24976,52835,50984,37623,11960,1302,3473,5054,2131,25663,1557,6258,11655,6193,WA-10
176372,20089,7363,3280,1815,1716,552,12726,2005,859,520,489,137,10721,4213,3221,2782,505,156283,121103,18415,26272,40958,35458,35180,12907,3721,3960,3666,1560,22273,4232,5417,8774,3850,WA-04
171150,7561,3067,545,251,1024,1247,4494,940,158,199,391,192,3554,729,602,1419,804,163589,135430,3334,8939,24946,98211,28159,10237,860,1764,3007,4606,17922,1596,2098,5318,8910,WA-07
179285,13496,5401,1556,952,1678,1215,8095,1755,338,522,507,388,6340,1689,1645,2230,776,165789,127209,7587,16592,31412,71618,38580,13388,1719,2917,4633,4119,25192,2328,4989,9992,7883,WA-09
195047,10566,4410,1160,1377,834,1039,6156,827,176,276,232,143,5329,1360,1768,1633,568,184481,152623,7256,26574,49944,68849,31858,11205,1346,3164,4031,2664,20653,1704,5496,8515,4938,WA-08
151177,15809,6029,1366,2665,1430,568,9780,1909,566,818,495,30,7871,1299,3298,2945,329,135368,108992,6352,37400,31454,33786,26376,9617,1040,4464,2632,1481,16759,1586,6186,5392,3595,WV-01
165489,18783,7040,1655,3069,1715,601,11743,2423,574,1257,436,156,9320,1946,4105,2970,299,146706,117936,9091,40757,33509,34579,28770,9569,1448,4658,2130,1333,19201,1794,7193,6207,4007,WV-02
177808,11769,4995,1091,1656,1527,721,6774,1659,271,577,745,66,5115,728,1756,2264,367,166039,137417,5815,37742,48189,45671,28622,11439,1039,4532,4317,1551,17183,970,4750,7389,4074,WI-03
154026,27927,6355,2264,2127,1383,581,21572,3432,1040,1273,1022,97,18140,4211,6858,6182,889,126099,79004,7485,17434,22634,31451,47095,12573,2130,3990,4642,1811,34522,3936,9433,13581,7572,WI-04
197555,12949,5616,1079,2039,1834,664,7333,1679,352,728,484,115,5654,565,2119,2518,452,184606,155071,7672,44416,54898,48085,29535,11697,1197,4811,4095,1594,17838,1195,5291,7995,3357,WI-07
188314,10318,4051,595,1378,1263,815,6267,1172,248,462,409,53,5095,743,1809,2092,451,177996,147565,6806,41410,48773,50576,30431,11795,1117,4438,4388,1852,18636,1420,5696,7302,4218,WI-06
196841,12666,4467,793,1716,1290,668,8199,1546,380,671,385,110,6653,1006,2343,2788,516,184175,153211,6690,42326,50887,53308,30964,12294,1012,4748,4465,2069,18670,1424,5697,7189,4360,WI-08
809328,326456,126632,48661,42722,23964,11285,199824,37752,11928,15176,7989,2659,162072,39158,57538,46043,19333,482872,324646,42820,78610,79597,123619,158226,41714,7231,11176,11693,11614,116512,17367,20603,27299,51243,PR-98
191019,22777,7733,2716,2403,1886,728,15044,1892,712,672,411,97,13152,3047,4328,5003,774,168242,128649,13251,33092,45741,36565,39593,11520,2369,4233,3473,1445,28073,3812,8083,10358,5820,MS-01
186062,26047,8287,2528,2837,2091,831,17760,2285,608,1117,474,86,15475,3754,5044,5649,1028,160015,122996,9361,28045,39733,45857,37019,9212,1782,3102,2642,1686,27807,3087,6672,11542,6506,MS-03
191671,29664,8311,1389,2872,3157,893,21353,2861,713,1120,958,70,18492,4360,5963,7414,755,162007,123971,9467,31033,45796,37675,38036,11129,1577,3732,4299,1521,26907,2611,7112,11395,5789,MS-04
165229,35325,6937,1611,2355,2291,680,28388,3137,1017,1322,638,160,25251,5490,9282,9232,1247,129904,83884,9054,21131,28715,24984,46020,10154,2338,3221,3295,1300,35866,5889,8789,13784,7404,MS-02
162997,15949,3959,520,1495,1014,930,11990,1715,236,814,516,149,10275,1418,3659,4431,767,147048,108943,3425,23001,29207,53310,38105,10723,866,3821,3067,2969,27382,1520,8256,10163,7443,PA-18
185668,14229,4865,1033,1764,1330,738,9364,1677,454,597,521,105,7687,1968,2770,2550,399,171439,132601,7867,36193,35332,53209,38838,12743,1427,5159,3696,2461,26095,2757,8275,9221,5842,PA-07
161531,32760,9770,3183,3641,1415,1531,22990,4092,1503,1764,578,247,18898,5414,8295,4020,1169,128771,77160,9565,25646,19479,22470,51611,14218,3042,5139,3662,2375,37393,5470,13996,11542,6385,PA-02
190973,9661,3438,303,1278,1169,688,6223,1107,133,411,383,180,5116,639,1771,2088,618,181312,148455,3804,29659,36690,78302,32857,10161,631,2970,3387,3173,22696,1006,6913,7699,7078,PA-17
190306,7171,3292,589,959,785,959,3879,563,33,197,213,120,3316,323,1218,1282,493,183135,151314,5332,31698,35150,79134,31821,10412,853,3301,2782,3476,21409,1353,6378,6688,6990,PA-01
180424,17000,4935,1033,2256,1089,557,12065,2097,497,1055,412,133,9968,1850,4247,3198,673,163424,129996,6407,42599,33689,47301,33428,11810,1048,5296,3165,2301,21618,1604,7957,6994,5063,PA-16
175288,17900,5564,1270,2413,1267,614,12336,2160,644,889,526,101,10176,2013,4560,2876,727,157388,121676,6380,38452,37380,39464,35712,12263,1467,4594,3720,2482,23449,2184,8216,7757,5292,PA-08
187094,13707,3744,675,1620,939,510,9963,1201,249,560,341,51,8762,1771,3399,2787,805,173387,135765,6651,36723,34844,57547,37622,11256,1245,4737,3099,2175,26366,1889,9113,9048,6316,PA-10
188075,15204,5657,1271,2966,920,500,9547,1799,373,878,474,74,7748,1182,3597,2419,550,172871,142219,10200,57518,37389,37112,30652,10783,1299,5269,2756,1459,19869,1982,8194,6029,3664,PA-13
194286,11758,4835,1608,1634,1036,557,6923,1086,215,342,423,106,5837,1336,2361,1869,271,182528,151007,15912,46705,37780,50610,31521,10589,1602,5158,2194,1635,20932,2852,8000,5901,4179,PA-11
185347,13326,4557,1078,2029,984,466,8769,1749,509,685,436,119,7020,1359,3019,2223,419,172021,137421,9946,52104,36547,38824,34600,12410,1326,6497,2774,1813,22190,2064,8903,7308,3915,PA-09
193388,7957,2988,486,853,800,849,4969,671,194,122,239,116,4298,575,1631,1520,572,185431,152419,4661,27241,30882,89635,33012,9630,908,2910,2395,3417,23382,1258,5640,7230,9254,PA-04
179891,14455,5738,1331,2741,1233,433,8717,2123,357,1220,387,159,6594,919,3192,2020,463,165436,136465,7380,57391,35804,35890,28971,11518,1015,6042,2826,1635,17453,1345,7646,5216,3246,PA-15
173307,15197,4596,668,1746,1174,1008,10601,1301,280,606,270,145,9300,1411,4270,2855,764,158110,115413,4689,25032,25364,60328,42697,11854,1208,4564,3193,2889,30843,2508,10177,9588,8570,PA-05
138442,24527,4689,1123,1668,1089,809,19838,2840,832,1167,620,221,16998,3410,6914,5518,1156,113915,65392,3853,10742,12472,38325,48523,10478,1110,3792,3015,2561,38045,3572,12261,13013,9199,PA-03
202466,20946,9335,1980,2991,3224,1140,11611,2427,624,981,775,47,9184,1817,3247,3257,863,181520,147789,10222,39732,50587,47248,33731,11924,1210,4398,4072,2244,21807,2294,6118,8887,4508,MO-07
194682,14035,5545,1457,1770,1595,723,8490,1470,309,690,335,136,7020,1314,2680,2580,446,180647,148404,6959,40683,44118,56644,32243,11294,1009,4244,3689,2352,20949,1257,6089,8083,5520,MO-06
192107,26889,10950,2651,4247,3383,669,15939,3681,1239,1603,691,148,12258,3042,4476,4221,519,165218,133606,12882,45611,43822,31291,31612,11364,1779,5010,3501,1074,20248,2805,6161,7813,3469,MO-08
208378,13784,4440,769,1782,1327,562,9344,1545,366,622,460,97,7799,1757,2052,3216,774,194594,160267,7881,41928,54138,56320,34327,12172,1861,4201,3977,2133,22155,1975,6208,8434,5538,MO-03
190845,18593,8231,1941,2832,2311,1147,10362,2489,798,949,645,97,7873,1612,2827,2958,476,172252,142101,9614,40738,45324,46425,30151,10510,1032,4415,3475,1588,19641,1708,5695,7321,4917,MO-04
263548,21178,9369,1050,3320,3294,1705,11809,2454,382,1024,834,214,9355,1261,3526,3490,1078,242370,202625,7106,47252,66649,81618,39745,15276,1261,5047,5613,3355,24469,1403,6157,9887,7022,MT-00
159196,12281,4918,1064,1638,1697,519,7363,1600,476,621,413,90,5763,1146,2130,2061,426,146915,123573,7428,32897,47492,35756,23342,8497,1443,2978,3014,1062,14845,1505,4087,6211,3042,NE-03
143260,23485,8450,2789,2610,2228,823,15035,2749,882,1008,617,242,12286,4286,4010,3463,527,119775,75245,15182,21171,23965,14927,44530,17112,4088,5796,5464,1764,27418,5106,8486,9872,3954,NV-01
197218,11819,5197,572,1230,2079,1316,6622,1342,112,441,529,260,5280,699,1813,1992,776,185399,139258,5986,25334,49688,58250,46141,16372,958,4601,6342,4471,29769,1960,7334,12849,7626,NV-03
181337,13039,5258,1414,1371,1695,778,7781,1671,301,570,679,121,6110,1749,1871,1982,508,168298,131404,11118,26825,48437,45024,36894,13554,2072,3758,4934,2790,23340,2717,5305,10387,4931,NV-02
172608,7729,2660,573,782,667,638,5069,964,202,480,149,133,4105,668,1439,1575,423,164879,136194,5197,28733,39098,63166,28685,9872,830,3526,2962,2554,18813,1267,4764,7196,5586,NH-02
180046,14404,3886,1120,1281,902,583,10518,1465,390,515,380,180,9053,2339,2840,3056,818,165642,120328,5610,27655,33700,53363,45314,12469,1467,4544,3692,2766,32845,2857,9953,11569,8466,NJ-01
172230,24647,6099,1622,1873,1096,1508,18548,2761,679,1227,695,160,15787,3730,6127,4623,1307,147583,89436,8672,21906,21636,37222,58147,15760,2063,5025,4670,4002,42387,3911,12439,14462,11575,NJ-10
193146,7056,3243,485,895,746,1117,3813,617,66,262,203,86,3196,667,1193,607,729,186090,155423,5107,25836,33065,91415,30667,8829,672,2525,2579,3053,21838,1402,5210,6106,9120,NJ-05
196669,6379,3132,519,972,632,1009,3247,391,117,128,79,67,2856,306,1037,1091,422,190290,161802,5056,22190,28622,105934,28488,8222,730,2304,1721,3467,20266,959,4345,5525,9437,NJ-07
187303,21021,7959,2419,2652,1226,1662,13062,1907,762,610,352,183,11155,3601,4275,2445,834,166282,120638,11140,30413,24224,54861,45644,14763,2040,4750,4248,3725,30881,3951,10027,8667,8236,NJ-09
181094,12873,4857,1184,1466,704,1503,8016,1373,357,561,267,188,6643,2004,2141,1891,607,168221,130921,9324,26491,27228,67878,37300,11939,1596,3799,3272,3272,25361,2849,7515,7700,7297,NJ-06
187252,11893,4772,1462,1367,617,1326,7121,1143,537,281,254,71,5978,1590,2138,1333,917,175359,138732,6347,21068,25762,85555,36627,11215,1610,3365,2625,3615,25412,2807,6998,7299,8308,NJ-12
163600,20844,7496,2561,1903,1972,1060,13348,2556,603,858,749,346,10792,2666,2686,4087,1353,142756,103474,6859,18311,31428,46876,39282,13737,1760,4225,4691,3061,25545,2437,5603,10335,7170,NM-01
163988,22766,8509,2667,2649,2246,947,14257,2834,839,1014,895,86,11423,2561,3766,4150,946,141222,103904,7753,22116,34637,39398,37318,12282,2041,3825,4233,2183,25036,2782,6220,9715,6319,NM-03
167565,7339,3260,837,968,656,799,4079,893,344,426,104,19,3186,937,919,1073,257,160226,124136,8037,29723,37485,48891,36090,11065,1558,3790,3091,2626,25025,2391,7869,7563,7202,NY-02
174852,17789,4234,876,1144,1052,1162,13555,1575,438,604,376,157,11980,3144,3569,4459,808,157063,117213,5053,19331,31332,61497,39850,10794,1138,3146,3485,3025,29056,2877,7132,11099,7948,NY-25
189584,6517,3709,692,930,643,1444,2808,459,83,151,75,150,2349,470,585,679,615,183067,156112,5929,19659,30908,99616,26955,8650,829,2070,1923,3828,18305,1327,4577,4493,7908,NY-03
152812,17444,11869,3977,3790,2053,2049,5575,1124,289,247,377,211,4451,1257,1102,1236,856,135368,110323,9791,14074,13194,73264,25045,7447,1293,1453,1354,3347,17598,1871,3415,3528,8784,NY-10
159244,36023,8845,4783,1548,1406,1108,27178,3262,1094,971,768,429,23916,9253,7040,5681,1942,123221,59515,11770,11796,11214,24735,63706,16189,3637,4840,3953,3759,47517,11182,11454,12764,12117,NY-13
170415,22695,6569,1650,2161,1723,1035,16126,2130,582,868,556,124,13996,3414,4738,5061,783,147720,103904,5277,22657,32166,43804,43816,11484,965,3771,3941,2807,32332,2425,8387,13538,7982,NY-26
169939,21566,7741,2087,2732,1330,1592,13825,2026,543,838,556,89,11799,2946,4585,3002,1266,148373,91376,9311,18233,17715,46117,56997,13383,1915,3692,3748,4028,43614,5108,12504,12365,13637,NY-09
175402,8109,3419,787,1422,714,496,4690,783,348,219,149,67,3907,709,1576,1146,476,167293,136074,6254,28113,41025,60682,31219,10028,1228,2970,3251,2579,21191,1439,6442,6153,7157,NY-01
157587,30974,15280,7936,4083,2000,1261,15694,2159,967,635,380,177,13535,5514,4146,2788,1087,126613,84675,18807,18399,13519,33950,41938,13101,3232,3901,2802,3166,28837,7493,7583,6886,6875,NY-07
177715,11792,7454,2251,2064,1894,1245,4338,654,249,176,203,26,3684,1191,1264,716,513,165923,133703,9868,18569,27671,77595,32220,9875,1747,2410,2557,3161,22345,2521,4901,6019,8904,NY-17
178647,17916,11126,3492,3566,1983,2085,6790,1174,212,169,495,298,5616,1535,1928,998,1155,160731,120160,14895,26403,25809,53053,40571,12934,1571,3255,3493,4615,27637,3602,6894,6894,10247,NY-06
173938,15199,5601,1772,1804,997,1028,9598,1634,603,402,580,49,7964,2855,2223,2294,592,158739,97529,13369,24642,27088,32430,61210,15854,2864,4715,4612,3663,45356,6024,12560,14176,12596,NY-05
177245,16433,5002,1504,1617,774,1107,11431,1576,633,649,152,142,9855,2960,2803,3029,1063,160812,107899,10004,17600,20497,59798,52913,13971,1976,4092,3630,4273,38942,5464,8675,11421,13382,NY-16
185776,18979,10109,2933,3405,1727,2044,8870,1410,651,320,231,208,7460,2053,2196,2359,852,166797,128770,11273,31720,30728,55049,38027,11496,1390,3249,2968,3889,26531,2449,6878,7905,9299,NY-11
166968,54113,11220,5350,2707,1837,1326,42893,5136,2544,1215,1027,350,37757,15601,10569,9444,2143,112855,48898,13516,12622,13182,9578,63957,15269,3727,5554,4163,1825,48688,11626,12286,16194,8582,NY-15
171010,16570,5601,1519,1817,1603,662,10969,2650,643,1281,647,79,8319,1316,3523,2875,605,154440,122882,7557,33481,39773,42071,31558,10640,1001,4382,3706,1551,20918,1432,6310,8046,5130,NY-23
176940,29270,8381,2391,2968,1455,1567,20889,3467,1064,1351,754,298,17422,4848,6843,4205,1526,147670,83541,8671,20460,19034,35376,64129,14420,1697,4949,3884,3890,49709,5918,14700,13808,15283,NY-08
140818,7880,3464,773,821,757,1113,4416,776,246,205,73,252,3640,978,1073,838,751,132938,109715,3675,7025,9764,89251,23223,7282,679,1196,1486,3921,15941,1718,2690,3207,8326,NY-12
177152,10973,5343,1302,1609,1540,892,5630,655,217,167,245,26,4975,1024,1399,2046,506,166179,133620,7331,25716,38346,62227,32559,9386,1129,2960,2679,2618,23173,1563,5670,8897,7043,NY-18
180529,27773,6557,2250,1914,1600,793,21216,2991,1088,986,755,162,18225,4883,5718,6189,1435,152756,106795,9311,24205,30862,42417,45961,10928,2578,3901,2839,1610,35033,4856,9397,12660,8120,NC-01
202178,23793,8789,2736,2388,2458,1207,15004,2342,1050,886,383,23,12662,2904,4014,4917,827,178385,140838,9645,30374,49815,51004,37547,11540,2252,3782,3720,1786,26007,2686,7220,10241,5860,NC-07
224088,16071,5735,1439,1701,1657,938,10336,1801,691,743,356,11,8535,1931,2538,3221,845,208017,170349,8595,28515,51349,81890,37668,10091,1289,2785,3442,2575,27577,2523,5579,11109,8366,NC-02
202782,23104,7789,2690,2289,2011,799,15315,2190,638,767,720,65,13125,3384,4028,5104,609,179678,139675,12026,32606,46663,48380,40003,11939,2427,3875,3957,1680,28064,3684,7360,11107,5913,NC-06
196934,21662,7199,1850,2316,2191,842,14463,2915,843,909,1004,159,11548,2065,3486,5188,809,175272,140328,7865,33800,54270,44393,34944,9550,1557,3019,3318,1656,25394,2390,7082,10255,5667,NC-03
195112,20220,7928,2317,2758,2054,799,12292,2517,751,1136,479,151,9775,2308,3100,3822,545,174892,136855,11154,32855,46780,46066,38037,12194,1917,4547,4078,1652,25843,3480,6623,10419,5321,NC-10
200643,13246,4377,1138,856,647,1736,8869,1731,452,407,576,296,7138,1949,1682,2536,971,187397,145815,5451,13156,27824,99384,41582,10797,1786,1612,3095,4304,30785,2248,4622,10865,13050,NC-04
194242,22597,9162,3045,2878,2155,1084,13435,2774,815,903,842,214,10661,2820,3749,3585,507,171645,136907,11668,32378,45132,47729,34738,10265,1481,3499,3246,2039,24473,2911,6343,9479,5740,NC-05
206438,20771,9455,2825,2959,2706,965,11316,2050,726,742,539,43,9266,2390,2741,3789,346,185667,151872,12142,36759,50931,52040,33795,11026,2303,3342,3556,1825,22769,2697,5614,9776,4682,NC-11
197420,21131,6677,1368,2035,2621,653,14454,2222,634,725,611,252,12232,2241,3396,5530,1065,176289,136923,8299,29007,51526,48091,39366,10773,1489,3403,3828,2053,28593,2243,6467,12750,7133,NC-08
194699,18981,5855,2170,1273,1286,1126,13126,1939,710,554,454,221,11187,3065,3090,3892,1140,175718,124768,8745,16992,34137,64894,50950,14085,2582,3403,3819,4281,36865,3177,6264,15802,11622,NC-12
184703,18368,3597,741,1280,1033,543,14771,1968,608,798,441,121,12803,2586,4372,5082,763,166335,126136,4766,26535,33947,60888,40199,11220,1275,3852,3372,2721,28979,2124,8354,10584,7917,OH-01
192211,16086,5001,1585,1794,1166,456,11085,1602,309,731,486,76,9483,1434,3774,4084,191,176125,144142,12596,48696,42225,40625,31983,11335,1519,5041,3562,1213,20648,2070,7194,7872,3512,OH-07
192503,10768,4541,1049,1717,1063,712,6227,1354,232,763,335,24,4873,929,1601,1936,407,181735,150138,8071,33937,40574,67556,31597,9812,1113,3091,3140,2468,21785,1516,6310,7495,6464,OH-14
173297,28541,7451,2257,2602,1848,744,21090,3347,779,1424,802,342,17743,4104,6130,6361,1148,144756,92372,5714,22349,27430,36879,52384,15446,2122,5101,4897,3326,36938,3317,10601,14885,8135,OH-03
