Income_in_the_past_12_months_below_poverty_level,Income_in_the_past_12_months_at_or_above_the_poverty_level,stateId
69892,465308,AL-01
68521,426835,AL-02
74898,457274,AL-03
67198,442689,AL-04
62203,484837,AL-05
45083,473620,AL-06
102472,388004,AL-07
45598,473875,AK-00
89352,460507,AZ-01
61143,480039,AZ-02
63835,410930,AZ-03
67532,554773,AZ-04
35152,564265,AZ-05
46153,555661,AZ-06
77525,386656,AZ-07
47757,537620,AZ-08
59214,512865,AZ-09
79580,444269,AR-01
73990,488089,AR-02
73379,490793,AR-03
82745,428940,AR-04
70482,459827,CA-01
48857,470545,CA-02
58688,445023,CA-03
42275,525818,CA-04
40112,472560,CA-05
66038,446447,CA-06
44696,486257,CA-07
65352,395810,CA-08
48889,444824,CA-09
48521,437285,CA-10
33822,463337,CA-11
55052,522219,CA-12
64138,464514,CA-13
28576,467790,CA-14
22918,474363,CA-15
72834,332938,CA-16
22641,422873,CA-17
22929,451350,CA-18
32468,432544,CA-19
43242,380188,CA-20
53481,294992,CA-21
56315,423703,CA-22
62096,423495,CA-23
57565,424074,CA-24
42359,440695,CA-25
28369,445797,CA-26
34984,438408,CA-27
54249,430282,CA-28
49902,363743,CA-29
41118,481950,CA-30
50134,432228,CA-31
42271,406032,CA-32
40504,463447,CA-33
68030,332587,CA-34
42250,403130,CA-35
69431,459938,CA-36
60825,404616,CA-37
35482,433967,CA-38
29442,452917,CA-39
42833,289802,CA-40
43211,422571,CA-41
36252,524146,CA-42
50199,394771,CA-43
41729,358360,CA-44
38541,491153,CA-45
35463,372484,CA-46
50077,427537,CA-47
32593,479362,CA-48
25994,475427,CA-49
48258,472268,CA-50
49226,365394,CA-51
42960,498529,CA-52
49040,506126,CA-53
61452,563592,CO-01
64267,555429,CO-02
67183,491570,CO-03
43360,560242,CO-04
49516,541751,CO-05
30116,533159,CO-06
41489,541529,CO-07
48938,459514,CT-01
35935,479337,CT-02
47968,474863,CT-03
35986,441191,CT-04
47582,459090,CT-05
67395,636110,DE-00
61968,446773,DC-98
60135,518401,FL-01
62424,457536,FL-02
78984,469828,FL-03
45269,564240,FL-04
104086,422632,FL-05
66232,554673,FL-06
59822,529353,FL-07
52349,557497,FL-08
69191,565456,FL-09
48144,480965,FL-10
70800,583940,FL-11
59519,559347,FL-12
63432,510422,FL-13
71174,489163,FL-14
59903,511614,FL-15
49693,608095,FL-16
63059,558977,FL-17
50968,547756,FL-18
53451,574993,FL-19
65771,413946,FL-20
44418,501076,FL-21
45694,497376,FL-22
46755,463293,FL-23
68101,388664,FL-24
55100,407613,FL-25
52407,419912,FL-26
56806,393513,FL-27
67327,469949,GA-01
93637,377630,GA-02
58437,484639,GA-03
46697,481266,GA-04
86227,473232,GA-05
25897,474104,GA-06
28270,468785,GA-07
76028,426920,GA-08
56955,499745,GA-09
67133,470484,GA-10
39083,501816,GA-11
81046,435249,GA-12
45985,499877,GA-13
51447,461881,GA-14
36659,468342,HI-01
41986,438168,HI-02
57554,608864,ID-01
70948,520599,ID-02
73238,443071,IL-01
68571,428594,IL-02
37284,439743,IL-03
39117,355006,IL-04
39152,487760,IL-05
18485,490895,IL-06
86258,420495,IL-07
29220,423121,IL-08
42281,445306,IL-09
26452,425359,IL-10
29136,444373,IL-11
65620,443646,IL-12
83142,420725,IL-13
20569,500320,IL-14
54856,450714,IL-15
50063,464311,IL-16
65093,417304,IL-17
49035,464348,IL-18
57636,467818,IN-01
55259,449622,IN-02
46378,485206,IN-03
53428,488934,IN-04
42341,528711,IN-05
61481,472815,IN-06
75991,443687,IN-07
58908,463523,IN-08
60977,503395,IN-09
58045,502651,IA-01
69591,499864,IA-02
52713,548299,IA-03
54791,481058,IA-04
56334,416431,KS-01
59882,459163,KS-02
36934,498786,KS-03
51589,453351,KS-04
84229,447612,KY-01
71929,485651,KY-02
64519,471608,KY-03
54855,500540,KY-04
117468,395245,KY-05
77519,482564,KY-06
66364,510428,LA-01
105528,473062,LA-02
95791,473016,LA-03
102656,433403,LA-04
101848,408581,LA-05
71598,511199,LA-06
42274,494272,ME-01
63782,449486,ME-02
46780,505900,MD-01
52995,477580,MD-02
36048,506599,MD-03
29469,466301,MD-04
27683,502567,MD-05
37532,477687,MD-06
68102,451096,MD-07
26506,487509,MD-08
59117,482361,MA-01
49162,488087,MA-02
40152,494504,MA-03
32771,507686,MA-04
32677,476169,MA-05
33673,523455,MA-06
71485,442446,MA-07
37088,523248,MA-08
43693,524747,MA-09
59920,487350,MI-01
51242,487364,MI-02
56337,485307,MI-03
68130,463048,MI-04
77373,439277,MI-05
66544,466157,MI-06
51504,478703,MI-07
50172,493408,MI-08
46288,505348,MI-09
41860,506655,MI-10
28203,505217,MI-11
66131,442076,MI-12
105401,375269,MI-13
81766,406462,MI-14
38920,441466,MN-01
27376,481219,MN-02
24952,500338,MN-03
42559,460966,MN-04
62285,458598,MN-05
29432,493560,MN-06
45571,442423,MN-07
53359,459188,MN-08
76919,485354,MS-01
103977,388356,MS-02
91073,448926,MS-03
92983,475206,MS-04
76423,456484,MO-01
27707,538835,MO-02
43039,546745,MO-03
75635,483022,MO-04
66500,503191,MO-05
56798,506256,MO-06
83525,493914,MO-07
87590,456709,MO-08
96565,715477,MT-00
40982,417474,NE-01
38181,423949,NE-02
45050,380401,NE-03
68473,348338,NV-01
53952,472907,NV-02
46232,582687,NV-03
50575,459703,NV-04
38351,485575,NH-01
35582,475111,NH-02
44120,486909,NJ-01
45587,465233,NJ-02
28790,528117,NJ-03
33081,497996,NJ-04
25523,503339,NJ-05
36683,445357,NJ-06
24235,490280,NJ-07
49816,365534,NJ-08
43260,430441,NJ-09
61017,428815,NJ-10
19013,495157,NJ-11
45319,441390,NJ-12
70731,433166,NM-01
83665,391890,NM-02
75413,436058,NM-03
28515,485327,NY-01
26404,482601,NY-02
23718,505080,NY-03
23591,480577,NY-04
40668,446991,NY-05
43137,386822,NY-06
68214,369011,NY-07
95741,444122,NY-08
60172,416029,NY-09
49449,432277,NY-10
40121,454204,NY-11
52522,482782,NY-12
100597,377953,NY-13
39799,349397,NY-14
132346,284016,NY-15
50863,442723,NY-16
30208,452401,NY-17
42687,469559,NY-18
54557,475528,NY-19
52154,483457,NY-20
63610,448859,NY-21
65956,440069,NY-22
71175,436748,NY-23
61157,454667,NY-24
56775,468809,NY-25
73592,450966,NY-26
42878,506514,NY-27
87082,453453,NC-01
50207,578330,NC-02
58902,489087,NC-03
53657,527857,NC-04
77308,483900,NC-05
74660,493900,NC-06
70023,536488,NC-07
63349,507230,NC-08
70106,492555,NC-09
70136,508403,NC-10
63436,531358,NC-11
55536,531920,NC-12
65906,494725,NC-13
55579,492191,ND-00
57525,472967,OH-01
58692,488662,OH-02
82563,465372,OH-03
52252,473500,OH-04
45453,492890,OH-05
62777,467848,OH-06
49735,490820,OH-07
54791,478300,OH-08
84932,424859,OH-09
62980,465213,OH-10
100327,407137,OH-11
48235,523492,OH-12
81286,460375,OH-13
43295,500509,OH-14
54537,509925,OH-15
32526,513964,OH-16
62136,504843,OK-01
93061,451977,OK-02
70478,471065,OK-03
68133,502222,OK-04
74447,483809,OK-05
50519,556881,OR-01
72838,551082,OR-02
65296,564913,OR-03
83960,554172,OR-04
54389,550014,OR-05
25020,509958,PA-01
101129,381266,PA-02
109050,439611,PA-03
31137,505202,PA-04
48364,456131,PA-05
39237,479722,PA-06
44774,485222,PA-07
63847,460009,PA-08
46737,481524,PA-09
45923,492291,PA-10
46729,497550,PA-11
60151,458217,PA-12
50228,477085,PA-13
56042,472401,PA-14
58428,454942,PA-15
60603,450379,PA-16
38682,506099,PA-17
65283,460879,PA-18
39290,333620,RI-01
34586,357699,RI-02
46613,562040,SC-01
52644,472892,SC-02
71104,450893,SC-03
49908,489682,SC-04
61617,481041,SC-05
94762,378360,SC-06
77897,485641,SC-07
67163,562037,SD-00
76885,478774,TN-01
66111,506631,TN-02
72313,484292,TN-03
64581,518404,TN-04
54868,491224,TN-05
65389,529954,TN-06
57648,515864,TN-07
55622,464219,TN-08
82024,408078,TN-09
70005,425324,TX-01
38472,474523,TX-02
28066,551804,TX-03
61397,485254,TX-04
46456,426716,TX-05
39038,509115,TX-06
32095,433867,TX-07
47922,528226,TX-08
66619,365975,TX-09
37884,554618,TX-10
51367,475169,TX-11
44431,526073,TX-12
52969,413473,TX-13
48532,453885,TX-14
59408,378499,TX-15
66212,399081,TX-16
83743,446567,TX-17
72255,398749,TX-18
68475,416216,TX-19
70152,465721,TX-20
52470,562636,TX-21
28763,576647,TX-22
55729,441416,TX-23
27852,498806,TX-24
48104,514417,TX-25
36444,579027,TX-26
70379,441089,TX-27
59165,378611,TX-28
66807,327010,TX-29
65047,399241,TX-30
47067,564422,TX-31
35556,458046,TX-32
54282,296741,TX-33
74980,339997,TX-34
84022,471951,TX-35
54127,455634,TX-36
36443,487130,UT-01
44404,480252,UT-02
49733,460521,UT-03
35747,504075,UT-04
47099,429554,VT-00
36631,540849,VA-01
39396,480854,VA-02
65143,477610,VA-03
59498,501731,VA-04
65150,486356,VA-05
61458,493216,VA-06
38788,532124,VA-07
27269,503164,VA-08
83102,453178,VA-09
17970,541072,VA-10
22645,482314,VA-11
31780,496041,WA-01
50580,504092,WA-02
48088,503769,WA-03
45907,393510,WA-04
76468,462186,WA-05
44565,506792,WA-06
52854,541860,WA-07
32960,487162,WA-08
36159,439125,WA-09
45926,503474,WA-10
65680,397944,WV-01
64270,412580,WV-02
74052,364855,WV-03
43264,485318,WI-01
54461,510410,WI-02
59417,478839,WI-03
79205,395362,WI-04
34348,524718,WI-05
38003,494759,WI-06
47669,498686,WI-07
41831,506165,WI-08
40467,383123,WY-00
1035683,1520528,PR-98
