Less_than_high_school_graduate,High_school_graduate__includes_equivalency_,Some_college_or_associate's_degree,Bachelor's_degree,Graduate_or_professional_degree,Male_Less_than_high_school_graduate,Male_High_school_graduate__includes_equivalency_,Male_Some_college_or_associate's_degree,Male_Bachelor's_degree,Male_Graduate_or_professional_degree,Female_Less_than_high_school_graduate,Female_High_school_graduate__includes_equivalency_,Female_Some_college_or_associate's_degree,Female_Bachelor's_degree,Female_Graduate_or_professional_degree,stateId
25420,32410,37685,51713,62476,30018,40369,48239,61759,74604,16275,26774,31944,42059,58966,NY-21
29236,40115,47099,70479,91128,31608,51060,55604,81065,101960,20731,28307,40966,61414,80823,NY-04
25859,32417,38781,51495,60157,31344,39208,46946,61278,66363,21259,26528,32374,43579,56992,NY-22
25168,34597,40021,51237,69800,30344,40369,47023,61625,82096,22199,27775,33118,41423,65397,NY-19
30016,35885,41616,58287,67328,32290,41902,50911,71046,86914,23324,26836,35910,46411,59691,NY-27
28242,31432,40586,55258,71336,30475,35769,41574,55514,76590,22971,26444,37012,54848,69731,NY-14
26058,31397,40006,51833,66205,31464,36535,47329,62108,73171,21139,24985,33913,46731,61632,NY-24
25679,32273,44454,61855,92200,29497,36965,51259,75667,103735,20441,26402,36938,51854,76239,CA-26
32656,39363,47553,81781,111783,37497,42490,55438,100511,142181,24923,33096,41911,62377,90906,CA-19
25722,32441,41027,60015,80507,29097,40602,45598,76278,96972,19620,27330,36200,47147,62019,CA-24
27718,35287,37274,57249,80105,31371,40964,41626,61527,82705,21002,29450,34738,55167,76583,CA-06
27075,40433,47716,74350,101394,33419,46974,58361,92492,126111,20145,26343,39426,57335,81627,CA-11
26613,31360,40585,50212,73735,32935,37966,46115,52257,84056,19237,24464,31681,46902,68187,CA-08
25302,31984,40985,61256,76837,29548,36403,42437,68391,93698,17755,26935,38349,52440,66459,CA-28
24159,34165,47237,94808,122443,23644,35900,55508,107991,150949,25234,31340,38608,80591,102211,CA-12
25924,36666,44047,73675,95043,26871,43348,51719,92049,109990,22038,29563,36857,53471,80799,CA-04
26994,34662,37158,50165,72098,34640,38086,42406,57378,92703,20939,28525,32911,45092,60731,CA-41
31330,44875,51020,91597,130821,37348,48496,57832,111981,150296,26414,39042,46646,70408,107459,CA-17
25856,35949,41695,51096,76999,31286,40161,49214,60149,81514,20871,30122,36105,46708,72041,CA-38
27450,35754,36370,51033,72516,45302,40122,44239,62845,92148,14256,26669,29778,42291,53552,CO-05
32865,36177,41406,61235,69458,41407,42081,51192,71305,85175,18753,30428,33448,50892,61886,CO-07
31024,33671,38048,56603,70579,39075,41265,45961,66934,84397,19243,28688,34361,50667,61011,DE-00
24207,35483,45435,65212,81079,24241,41519,52990,75409,93868,23969,27850,37003,56618,71370,CT-01
22154,37498,43188,61074,82322,26823,45778,53176,75486,105073,17364,27914,36722,51065,66648,CT-05
24216,28552,35329,51426,75831,26500,31793,39676,61130,95143,20548,23959,31801,43562,61977,FL-14
23115,31351,36753,51757,68018,29620,35679,42476,65860,91122,20908,27358,33483,42763,54278,FL-16
24387,31023,35714,45818,57344,26830,35173,42127,52222,74779,20619,27637,31468,42711,52264,FL-15
25397,31191,37942,52011,65994,25371,35492,45437,63445,79505,25435,26043,32494,47453,59972,FL-12
26102,27752,33981,46798,61560,30897,32080,41333,55619,75897,20294,22425,30878,41677,55296,FL-02
22678,28945,35756,49502,62241,24521,31544,41672,55629,91431,17212,25192,31412,42510,52110,FL-21
30104,32012,38424,49590,62330,33518,37384,44274,50768,66723,24048,25808,35090,48972,61411,GA-13
21382,28075,31015,41461,54428,22136,32693,37378,50311,65018,20387,20902,26282,37342,51971,GA-02
27032,31971,36108,46930,66449,31066,38105,48175,59293,71429,22271,24183,29316,40425,60202,GA-14
22248,30942,32238,46622,62160,26180,35336,43910,60047,88460,19118,22978,25466,41940,53464,GA-12
27153,31810,35396,48239,57275,31691,37716,44055,65520,65518,21201,25410,26920,38770,51612,ID-01
31506,36321,40157,50654,67341,31572,40786,45337,63227,69972,31447,30827,35775,44903,66317,HI-02
26625,32471,37988,55449,71237,31762,40382,45792,68234,86107,19519,25512,32022,45093,58076,IL-18
30268,40989,42446,68407,81805,37200,48735,58377,92384,111487,21084,31147,32013,48693,65657,IL-14
29048,35087,40350,50807,65695,32679,45304,55063,66217,77469,25214,25697,29284,40466,59920,IL-16
23270,30344,33191,47424,57910,27304,39804,44296,52478,65612,16531,21715,29296,43231,55055,IL-17
28000,37273,43484,57382,76209,32118,42242,52803,64119,100112,23149,29829,36137,51969,65931,IL-03
28761,35563,41460,62142,78027,31994,43993,52426,80986,92509,22108,26165,32137,50732,62111,IL-11
26319,31955,35969,49262,62583,29787,40793,47086,63570,76698,21492,22632,29087,40909,56822,IL-15
30273,32991,34615,46433,57617,35155,41695,46087,55751,70747,20168,24444,28524,37508,50785,IN-02
31366,32038,36449,50866,61648,37493,40530,46062,65018,70823,19086,25210,30254,42405,56647,IN-06
32002,32229,38663,47063,61935,39984,41505,49436,61867,76713,22023,25256,30894,39402,51293,IN-03
27189,35167,40102,50714,62260,31033,42340,48997,61590,77511,21916,25920,30385,41349,51200,IN-04
31607,31777,37631,48213,59684,37004,40504,47081,56401,65050,21397,22931,30788,41202,56000,IA-04
30827,33514,40976,59232,71502,38071,41649,49008,70015,81999,21961,26332,33881,49776,64473,IA-03
25380,31860,35847,48592,60824,32893,38201,45879,60239,81335,20119,24042,29018,41521,51268,KS-04
25029,31731,36890,53090,56907,27943,40087,46796,66757,66038,16384,23934,31575,45967,54115,KY-02
23714,31272,36587,50748,63790,32261,36324,43464,56572,71999,18595,25690,31773,45023,56943,KY-03
28021,35237,40310,56370,64418,32706,40059,51814,68475,81063,21228,28345,31864,47123,58091,KY-04
31947,34280,41198,54795,62093,36907,47411,55791,65359,78303,21624,22394,31780,48538,53329,LA-06
25557,31934,37425,50368,64506,30357,47301,53128,62978,95574,19798,21920,29885,40851,51324,LA-03
33771,44603,44629,72004,88004,41344,51074,60249,91543,101795,27604,31947,37465,56030,80457,MA-06
32425,37236,42467,71217,91594,40836,43257,52281,87401,121540,23289,30271,37037,56095,74411,MA-03
21263,32616,38088,55911,69327,24315,39234,47705,70963,76487,16306,25328,31272,46593,65586,MI-07
25997,30558,36527,46416,67738,31384,37046,45296,56798,90400,20132,23691,30006,39523,56911,MI-06
23303,32362,40797,60801,76503,26894,42165,55873,73980,90560,17681,21584,28893,46541,66677,MI-10
22576,30996,35302,51786,66348,27260,38182,44769,65386,77496,16787,22014,27081,41794,61223,MI-04
26844,35766,40231,70676,91048,35455,45395,50423,89377,115033,21195,28758,32364,52628,72229,MI-11
22415,33970,40542,55474,69060,30822,41065,48226,65981,86053,15082,25655,31932,47046,58402,MI-12
27103,37172,45712,66039,80444,36450,44883,56370,81031,90118,20044,29596,38389,52593,72454,MN-02
26751,32876,40054,51098,66011,32126,41234,50500,61348,75921,19923,24410,31336,45753,61941,MN-08
27217,31179,40917,56479,76186,30688,34724,46731,67373,89496,24730,27042,33713,48113,69228,MN-04
26775,30652,38711,54237,70897,30152,31926,41820,61604,82559,20893,27131,35473,47379,62690,AZ-09
25438,27984,30955,42454,59141,27820,32961,40357,58634,64546,19925,21768,26004,37090,54489,AR-01
24238,27942,30753,42180,55860,26262,32126,37273,52674,61205,17971,22431,26546,39020,53517,AR-04
25908,30399,32031,43857,78723,30774,34517,41375,49982,99843,17105,22498,26248,38364,65515,CA-16
23459,31127,35969,65806,80724,26022,34390,38259,75957,92367,19745,26638,33335,60403,73269,CA-37
25971,31843,43856,59935,80486,31250,39015,50602,68328,86725,21340,26543,36735,50195,74439,CA-53
25926,33361,36840,53786,79929,30756,41274,47563,61296,96255,21634,27672,31720,47671,66857,CA-31
26357,31694,36989,44144,57567,31233,37205,46524,58873,62847,19872,23434,32356,38867,54512,TN-04
28825,31472,35731,44873,60751,32280,37028,44056,51448,72008,19114,25217,30653,38731,55855,NY-23
27278,33280,45893,66449,92821,30358,40884,52995,71656,122767,25690,24881,40985,61743,82016,NY-16
24037,37207,48190,65381,78333,26907,43435,60397,72390,85853,18373,27198,39049,57414,75981,NY-11
21833,26985,31028,45071,60184,26054,31300,35544,46363,60951,16781,21975,29274,42800,58523,NY-15
25710,35052,41245,65195,77392,27024,40894,43231,66392,81565,22353,30784,40333,63016,75414,NY-08
23408,41541,51929,96433,110445,25524,48389,61424,109403,146306,21971,36788,40797,82485,91554,NY-12
26904,37353,46649,66182,90271,34435,45267,61185,82259,106273,14967,27333,37048,54549,79496,NY-18
23176,27273,30040,48917,62478,27046,31046,36103,59571,72106,14425,24983,26397,42756,59832,NC-01
21346,28867,32762,45246,58012,25737,32654,40378,51031,74754,16351,21515,27607,41530,52378,NC-07
26391,32147,40011,62453,72951,28354,40495,47491,86304,102098,20665,25675,31003,47829,58581,NC-02
24346,30288,37072,51416,60499,29197,36540,43963,61498,86199,20210,22723,30717,45905,51727,NC-06
22191,30558,35628,46765,57460,22664,35270,44042,57679,68410,21595,25055,30224,41242,51537,NC-03
26656,29499,35086,46853,53377,30731,33962,39745,59876,61975,19363,25538,31242,41373,50122,NC-10
22355,31164,36905,57559,75599,30148,35940,40529,72046,95759,20413,23618,34411,49308,60985,NC-04
23518,28965,32805,46877,58503,25813,32302,40947,53367,66207,20673,24064,29537,42955,51735,NC-05
25009,31566,40477,56851,80442,31244,39125,46261,72711,100085,20124,26540,32734,45496,66759,OH-01
21933,30848,32873,41931,55918,25002,36461,40590,50033,71214,10718,23951,27286,37495,50991,NC-11
24706,29690,32820,46305,64404,30456,35274,40945,57144,93876,17862,23584,29362,40065,53653,NC-08
24575,29483,35923,56086,68645,28314,32373,41215,66611,85033,16990,25579,32012,48620,60989,NC-12
30650,32072,37207,55242,57919,38795,41720,51486,65140,67135,17549,22708,27792,46116,51767,OH-07
33115,31109,40231,60461,77095,37649,41378,49137,71822,100793,20689,22261,32088,50609,68501,OH-14
22894,29408,33400,50418,61193,28671,33764,36882,51973,72051,17430,25245,31063,45103,56206,OH-03
21866,31529,32703,51830,75873,25642,36613,41995,61402,91028,20541,25075,29341,41959,63705,OH-10
22291,35316,40358,52039,70706,27297,41842,51472,70038,83460,19562,25416,30741,42677,64550,OH-05
23367,30397,34502,45554,55700,30008,35708,42245,50694,61880,16116,21885,27798,41152,52228,OH-13
26146,34186,41243,53835,75523,32019,40516,50726,66540,91016,12875,25696,34895,46883,63917,OH-15
21091,30039,34385,49727,60170,26018,33587,42081,57182,61178,14052,25352,29208,44059,57057,OH-09
24284,30599,40831,61785,82926,31318,35419,51179,80133,97426,19823,25032,32191,51521,70385,OH-12
24738,30009,32864,42076,51675,30319,36738,44186,50997,69721,18811,22297,26568,39032,47305,OK-02
25094,32336,34985,45683,54617,35018,41919,47400,59753,70996,15939,25289,27464,38713,47288,OK-03
23594,35092,39273,47825,56964,31601,43131,49797,62108,72751,17019,25436,31175,41256,50881,OK-04
29818,34547,40912,62498,88561,32926,40595,50895,83116,110099,24787,29003,32408,51292,70003,OR-01
30485,31749,38787,51251,72057,31648,36516,50513,62288,86204,26775,26604,31924,42354,61275,OR-05
26192,30104,32293,46405,61668,30973,33938,39746,59668,75728,22348,25134,26745,39065,56171,OR-02
30649,37366,40730,58913,76043,31438,42398,50314,64972,85994,27308,31677,36430,50925,67134,RI-02
24188,35369,40487,57403,69599,32272,43338,48873,74369,92573,16464,28611,34562,46281,59517,SC-01
23112,31538,37229,51827,61087,29745,40341,45447,71141,77692,19043,25226,31354,40326,51538,SC-04
24954,31306,36379,54102,62021,29938,37088,42371,71217,84527,16661,22900,30673,47072,57657,SC-05
21987,31641,37377,51683,61878,22926,40159,50347,64806,82539,19217,24404,30606,41383,55373,SC-02
22131,31306,36732,47630,57244,25485,39083,45548,52350,67214,16298,24381,31024,41503,52222,SD-00
21046,27566,32164,42098,61824,25522,35134,40554,52233,77091,17699,22330,27409,37267,53015,TN-01
26417,30327,37019,52009,62242,29341,35056,40892,60897,78101,20900,26401,35411,48032,55640,TN-05
23498,31599,34454,58634,73050,27111,38675,46094,81310,100445,18249,25124,26795,41292,56344,TN-07
26018,30717,35625,50408,61184,29157,35614,45397,65071,76759,20860,25691,28281,41123,52761,TN-02
21869,26972,31303,44951,62255,25210,30507,35587,53197,72352,17132,23294,29466,41245,56964,TN-09
20280,25923,32548,50187,61767,27283,32865,42253,60163,79758,13304,17872,26250,43442,57633,TX-28
24574,31044,35620,47556,63821,31961,38740,48707,62357,89283,16500,22312,26612,41059,52846,TX-01
24334,29387,39258,59827,85799,30251,32508,41733,72263,114820,16365,23871,36390,52368,65738,TX-07
28794,34726,41163,56568,70946,32521,40122,50460,66685,87197,23121,28887,35066,51804,61489,TX-06
23201,31653,39096,50804,66214,26116,38604,49749,61014,81162,20033,25938,30247,43663,56220,TX-17
30449,38747,41453,60343,71606,40125,51331,61077,76425,101597,14610,23903,30834,54270,64464,TX-36
16775,25586,30245,46980,60472,21772,30654,34005,52274,65758,12534,18854,24999,40552,55055,TX-16
28055,31331,43079,65287,86935,32121,38787,50078,76006,104441,21827,26981,37491,54872,69152,TX-24
27077,27345,31759,46211,50794,31744,32857,38267,51338,47371,18716,21687,28090,41795,54123,TX-33
26015,32485,41054,50997,60112,32419,50863,56960,70144,71490,20398,21561,31926,41553,53590,TX-11
20021,25300,31438,49408,59538,25072,31364,38329,54496,64876,13816,19834,27952,41588,57503,TX-15
21454,32460,36473,55827,72040,30059,37338,46914,67533,96732,13761,26993,28291,47157,61673,TX-23
28840,34571,42421,58735,72705,34412,41972,50675,76346,90862,20876,28266,35040,50861,62336,TX-12
27484,36702,41099,61679,92099,31863,42432,57304,94818,112297,21026,27794,34332,50103,69375,TX-08
18980,25798,30116,45447,60324,22963,31832,40645,47907,60272,14318,20070,25131,42760,60331,TX-34
28201,29706,37621,57184,61736,32006,35757,41595,62426,65229,20484,23453,36276,51970,60731,TX-30
25195,30158,31404,57659,74783,28551,34862,32462,70937,93424,17779,21990,30730,51724,67758,TX-18
26291,32359,41945,66244,82378,28952,39999,51428,86109,116849,17852,26361,36331,53779,68215,TX-02
22100,28520,33379,52783,65313,26074,31976,37350,56290,74633,19216,24070,30353,51081,59883,TX-20
21376,29973,38053,60860,71824,24616,34081,42016,71506,92356,15575,25356,35200,51020,57174,TX-21
23837,32132,41543,56862,77199,28606,38947,50325,70018,100767,21098,25160,33154,46501,61416,TX-31
27382,33753,40355,60589,75150,31662,41150,50545,79257,100797,21055,25394,31465,50707,61264,TX-25
26769,31198,39897,61195,84031,31450,35975,46592,70821,108808,19266,24424,35457,51571,70608,TX-32
25773,33903,46614,70598,90949,29720,37261,54863,91692,109390,20061,29425,39819,55550,64001,TX-03
26642,31154,42177,50826,71948,31145,40505,51993,66256,98405,20144,23447,32061,45345,60287,TX-04
25101,31015,36009,50156,60591,31396,37494,45024,65427,70182,15882,23823,27570,43900,52260,TX-13
30116,36371,47845,62781,80812,32921,46721,57971,81567,101396,23113,30620,39555,53522,64229,TX-26
25243,25492,32172,46122,56080,30719,30101,38926,50590,56310,19383,21346,28541,44714,55897,TX-09
27052,32425,39882,47170,61617,29144,37496,49067,53382,75955,20958,26935,32556,41482,55280,VT-00
27076,36569,36533,51120,80129,32153,48232,48090,70569,92278,20614,26761,28545,35580,54295,UT-01
28860,35742,40304,55596,76668,35029,42299,50578,71979,93106,22619,29254,31361,40808,60768,UT-04
26330,37004,42312,61967,82228,36455,42878,55697,74964,107857,20928,28923,35458,48762,65517,VA-01
27016,40205,50051,82273,107162,34875,46841,66024,110633,136868,18375,31128,36420,61092,82298,VA-10
20208,31776,35968,52003,64420,26338,37120,42901,63468,87874,16281,26757,30755,46686,52394,VA-05
23682,35737,41576,59180,70933,27216,44335,50144,76869,101153,18619,27467,35772,48067,54757,VA-07
25174,37303,45917,71108,101432,30838,44339,51353,82884,122178,20970,28281,39929,61075,81089,VA-11
22443,30382,33971,44116,52376,23820,36649,40988,51923,69695,20675,22648,29543,39406,50806,VA-09
23646,31151,42279,76079,103032,27552,37982,47073,86172,120865,18265,25102,39142,66132,91108,VA-08
29212,35325,41562,53584,71997,31956,44202,51537,67812,82250,20770,26324,32500,47155,65970,WA-03
33352,37017,42310,53946,75324,38273,42835,52113,63256,82731,25851,30455,35500,50408,70582,WA-10
26074,31799,39500,59703,78415,30079,37645,51263,68354,91869,19156,26013,31283,46851,71778,WA-04
31993,37591,45334,73939,93208,34270,42606,49400,92933,121633,28810,32391,37259,60068,75639,WA-07
32626,37400,41649,63207,96996,40790,41392,46105,80900,113491,26656,31238,39241,53049,79426,WA-09
31973,37772,50405,72628,95652,36186,46708,66534,92238,120208,26313,30632,40000,56318,80040,WA-08
19543,31136,32429,41972,60422,20705,41586,41563,51492,74705,18702,22154,26608,38498,52397,WV-01
21095,30116,34029,50748,67321,24328,37873,45634,60969,82764,15789,23318,27733,43905,61248,WV-02
30239,32424,37935,46704,60917,33272,39710,46934,57409,65404,20295,26464,31044,41281,58854,WI-03
25231,30299,36578,49354,64471,28388,31904,43105,54816,71804,21170,26358,31044,46434,59125,WI-04
28815,32083,37102,49289,61565,35972,39810,47494,59009,62837,20224,25900,30945,41987,60962,WI-07
35554,36234,40954,52144,67081,37008,43439,50471,65174,80921,25077,28773,33366,45625,61551,WI-06
27502,34492,40775,50769,65611,35123,43436,50519,62668,71373,20802,26424,31330,45113,62327,WI-08
11259,15055,17187,24668,34649,11756,15866,18764,29078,43842,9167,12521,16098,22596,31040,PR-98
22287,30230,35433,48411,60893,27316,35368,42316,56628,81681,15865,24758,30154,42297,55163,MS-01
19621,27701,32056,46476,58073,25027,37271,41616,60600,67469,15543,20219,26910,36795,51358,MS-03
21578,27454,31212,45893,56326,26620,36607,40975,51776,80918,16872,18735,26163,41594,50662,MS-04
18905,22337,26714,37854,50358,21361,29882,32477,44254,60484,15631,17680,23381,32984,45739,MS-02
20558,31567,38821,54547,66764,22811,38455,46125,63586,76011,18668,26455,34422,47798,60511,PA-18
26001,34664,38586,56203,79040,33192,40626,46386,67266,90368,16814,27144,32300,45201,67208,PA-07
22939,28916,35990,47572,68868,29952,33455,40697,51462,70882,18131,24305,30087,42269,67254,PA-02
24219,35312,40108,60032,80144,29281,40960,50565,67492,101349,15579,26540,31786,50283,65171,PA-17
36389,40841,46541,65621,86169,45151,50791,56956,72461,101809,22273,30500,37366,54121,75633,PA-01
30205,32125,37627,46999,62297,36182,41388,45508,53159,71544,17192,22814,30848,41721,60671,PA-13
21266,31315,35413,50770,65944,27406,39839,43116,61994,77920,12391,23802,29321,40504,57127,PA-16
27251,30984,35622,48473,67842,31634,38104,42851,52356,78003,19657,23450,30074,43921,59302,PA-08
26269,33896,41025,59358,72723,31234,40845,48206,70564,86472,21582,27851,35278,49514,63339,PA-10
36534,36552,39643,51098,65902,43740,46354,48931,61772,81389,18125,24956,32153,42832,58296,PA-11
25025,36553,38472,51683,70450,34668,43642,46121,58626,78498,15870,28008,31931,45495,66911,PA-09
28845,36889,45869,67026,81383,31490,45766,51971,81526,100935,24653,30627,39719,57029,72196,PA-04
24778,31266,36434,44331,62493,31491,41590,44374,52196,79309,14559,21893,30132,37389,54109,PA-15
22953,32140,40722,56194,86099,26337,38252,49956,68468,110933,20729,27004,33431,48815,71566,PA-05
22708,27217,31507,52424,69263,24213,29050,35086,59280,81428,21143,25382,30016,49992,65098,PA-03
23188,29319,31786,42355,50964,25030,33983,39604,51983,60247,20376,22600,27124,37045,47596,MO-07
26206,33589,36865,51990,62369,31836,40321,43809,63002,80760,16158,26237,31097,46038,55048,MO-06
22035,28466,30962,40817,52275,27168,35713,38073,45369,65579,14800,21495,26416,36272,49312,MO-08
25302,32281,41018,54393,62240,31355,40129,49699,68628,81475,19022,25900,31534,44162,57030,MO-03
26472,31499,34936,46321,54321,31872,37663,40919,56619,71626,17483,24546,30280,41170,48442,MO-04
27804,30843,33040,42150,58287,35554,40076,40902,50386,71637,21543,21504,27266,37872,50076,MT-00
30683,32085,35406,44438,60209,35158,39520,42768,50954,64951,20975,23615,28690,40458,55182,NE-03
27034,30470,32001,36894,48569,30774,31545,36143,41319,50221,22399,26993,28271,35477,46426,NV-01
31407,35761,42530,56606,72373,35342,40075,50219,64620,90603,28255,31506,37448,48519,62176,NV-03
30253,36965,40895,50384,67131,35527,42246,50114,63032,81679,21743,30960,34883,43905,58640,NV-02
30705,39226,41463,60048,69110,31961,45752,50849,74964,86681,25410,30199,35304,51010,60300,NH-02
26740,33836,41928,62254,79850,30416,41537,50115,70035,101524,21795,28160,36781,56790,68104,NJ-01
30786,32731,40305,57912,79314,35160,39973,48954,65243,100077,22129,28612,36070,51389,66429,NJ-10
31132,41753,50756,73245,100436,36409,50635,60884,90437,120530,26760,32201,40739,60382,81438,NJ-05
27955,39322,50578,75528,111454,32249,49627,61881,94949,141903,18327,26990,38060,61399,85608,NJ-07
29024,31161,46443,61506,90426,31466,36499,52958,70655,112369,21914,26124,41391,56404,75824,NJ-09
29612,36747,46382,68631,88720,35731,42271,56531,80425,106483,20996,30766,36400,55950,70006,NJ-06
25040,35004,46481,69756,93916,29557,41503,51442,81344,120309,20498,27440,40201,60815,74198,NJ-12
21280,30532,33261,45909,68327,26313,31652,40012,50551,90891,15697,28551,29012,42817,59071,NM-01
21967,28628,32083,46396,61279,26959,32206,40417,51822,77400,14403,23920,27611,41097,53934,NM-03
32823,42368,50603,65148,91027,40571,51156,62423,75811,101793,27167,33094,40297,55308,82185,NY-02
25661,30866,36458,51984,64582,31598,38462,43105,61171,85407,17068,25599,31689,47428,56744,NY-25
29866,38963,48360,79422,100540,35826,51123,61173,97114,121969,19775,30195,40355,56975,88296,NY-03
21219,28945,51487,82682,114576,22479,37212,52753,96290,151931,17994,20923,46323,75303,100463,NY-10
23617,30071,31529,51460,70596,26199,31185,37777,57104,80166,20912,25520,27876,48898,64755,NY-13
21647,31844,36427,49089,61240,29907,36859,42049,52137,71838,13745,25370,32107,43255,56169,NY-26
28515,33030,42262,67106,77978,31705,38515,49142,70981,85683,25947,30982,40247,62378,73591,NY-09
35432,45305,52227,66733,90287,39582,60711,66268,81627,111498,22105,30024,41971,52042,76918,NY-01
24305,31597,36404,68142,82192,28708,36282,37381,76070,90095,20008,25795,35744,61214,76840,NY-07
26744,39506,47821,73862,96341,28455,45874,60148,90684,121271,25804,28476,36790,60367,80949,NY-17
25414,32281,43662,61038,76467,30270,38579,46446,65327,81371,21197,27736,41391,54805,72056,NY-06
26412,35739,41416,52918,72403,29823,41470,47490,56691,67854,23117,29481,38101,50561,76261,NY-05
